ID,Título,Medio,Ciudad del medio (o país),Mes,Fecha de publicación,Link,KW de búsqueda,Mención en título KW_G1,Mención en título KW_G2,Mención unifficada,
64,Debilidades de la propuesta de escaños reservados,Elmostrador.cl,Región Metropolitana,Noviembre 2020,24/11/2020,https://www.elmostrador.cl/noticias/opinion/2020/11/24/debilidades-de-la-propuesta-de-escanos-reservados/,Plurinacional,No,Sí,Sí,
72,Dimensión política de las espiritualidades indígenas,Telesurtv.net,Venezuela,Noviembre 2020,06/11/2020,https://www.telesurtv.net/bloggers/Dimension-politica-de-las-espiritualidades-indigenas-20201106-0004.html,Plurinacional,No,Sí,Sí,
77,Aucán Huilcamán y su rechazo a los escaños reservados: «Nos encontramos redactando un estatuto de autodeterminación»,Eldesconcierto.cl,Región Metropolitana,Noviembre 2020,21/11/2020,https://www.eldesconcierto.cl/nacional/2020/11/21/aucan-huilcaman-y-su-rechazo-a-los-escanos-reservados-nos-encontramos-redactando-un-estatuto-de-autodeterminacion.html,Plurinacional,No,Sí,Sí,
78,Pueblos de Abya Yala hacia la Plurinacionalidad,Telesurtv.net,Venezuela,Diciembre 2020,18/12/2020,https://www.telesurtv.net/bloggers/Pueblos-de-Abya-Yala-hacia-la-Plurinacionalidad-20201218-0002.html,Plurinacionalidad,Sí,No,Sí,Diciembre
80,"Viktor Naqill: “Si el Estado plurinacional significa el reconocimiento al pueblo mapuche, pero no al país mapuche, su alcance será mínimo”",Theclinic.cl,Región Metropolitana,Diciembre 2020,15/12/2020,https://www.theclinic.cl/2020/12/15/viktor-naqill-si-el-estado-plurinacional-significa-el-reconocimiento-al-pueblo-mapuche-pero-no-al-pais-mapuche-su-alcance-sera-minimo/,Plurinacionalidad,Sí,No,Sí,
81,Arica: Declaraciones y Carta de Alcalde frente a racismo de Senador y Diputados sobre Escaños Reservados para Pueblos Indígenas,Mapuexpress.org,Región de La Araucanía,Diciembre 2020,11/12/2020,https://www.mapuexpress.org/2020/12/11/arica-declaraciones-y-carta-de-alcalde-frente-a-racismo-de-senador-y-diputados-sobre-escanos-reservados-para-pueblos-indigenas/,Plurinacionalidad,No,Sí,Sí,
83,Opinión: Las mujeres indígenas en la elaboración de una nueva constitución política para Chile,Mapuexpress.org,Región de La Araucanía,Diciembre 2020,23/12/2020,https://www.mapuexpress.org/2020/12/23/opinion-las-mujeres-indigenas-en-la-elaboracion-de-una-nueva-constitucion-politica-para-chile/,Plurinacionalidad,No,Sí,Sí,
84,Dirigentes indígenas en pie de guerra por reducción de escaños reservados: exigen al menos 20 cupos en Convención Constitucional,Elmostrador.cl,Región Metropolitana,Diciembre 2020,05/12/2020,https://www.elmostrador.cl/noticias/pais/2020/12/05/dirigentes-indigenas-en-pie-de-guerra-por-reduccion-de-escanos-reservados-exigen-al-menos-20/,Plurinacionalidad,No,Sí,Sí,
85,"Congreso chileno aprueba 17 escaños indígenas para redactar nueva Constitución
",France24.com,Francia,Diciembre 2020,16/12/2020,https://www.france24.com/es/minuto-a-minuto/20201216-congreso-chileno-aprueba-17-esca%C3%B1os-ind%C3%ADgenas-para-redactar-nueva-constituci%C3%B3n,Plurinacionalidad,No,Sí,Sí,
88,Las batallas constituyentes de los pueblos originarios,Plataformacontexto.cl,Región Metropolitana,Diciembre 2020,23/12/2020,https://plataformacontexto.cl/contexto_factual/las-batallas-constituyentes-de-los-pueblos-originarios-2/,Plurinacionalidad,No,Sí,Sí,
93,De los escaños reservados a los indígenas como mercancía del sistema político,Elmostrador.cl,Región Metropolitana,Diciembre 2020,12/12/2020,https://www.elmostrador.cl/noticias/opinion/2020/12/12/de-los-escanos-reservados-a-los-indigenas-como-mercancia-del-sistema-politico/,Plurinacionalidad,No,Sí,Sí,
97,"Adolfo Millabur, candidato constituyente mapuche: «No hay que tener temor a debatir sobre autonomía»
",Eldesconcierto.cl,Región Metropolitana,Enero 2021,01/01/2021,https://www.eldesconcierto.cl/reportajes/2021/01/01/adolfo-millabur-candidato-constituyente-mapuche-no-hay-que-tener-temor-a-debatir-sobre-autonomia.html,Plurinacional,No,Sí,Sí,
102,"Convención: Dirigentes mapuche fustigan apoyo de partidos políticos a candidatos indígenas
",Cooperativa.cl,Región Metropolitana,Enero 2021,04/01/2021,https://cooperativa.cl/noticias/pais/region-de-la-araucania/convencion-dirigentes-mapuche-fustigan-apoyo-de-partidos-politicos-a/2021-01-04/164456.html,Plurinacional,No,Sí,Sí,
106,"Machi Linconao logró reunir las firmas necesarias y presentará su candidatura constituyente
",Cnnchile.com,Región Metropolitana,Enero 2021,05/01/2021,https://www.cnnchile.com/pais/machi-linconao-firmas-candidatura-constituyente_20210105/,Plurinacional,No,Sí,Sí,
112,"Natividad Llanquileo y candidatura constituyente: Tiene que quedar establecida la plurinacionalidad del Estado
",Cooperativa.cl,Región Metropolitana,Enero 2021,09/01/2021,https://cooperativa.cl/noticias/pais/region-del-biobio/natividad-llanquileo-y-candidatura-constituyente-tiene-que-quedar/2021-01-09/131730.html,Plurinacional Plurinacionalidad (combinada),Sí,No,Sí,
113,"Plurinacionalidad, medio ambiente y DD.HH: las propuestas de los pueblos indígenas en sus candidaturas constituyentes
",Radio.uchile.cl,Región Metropolitana,Enero 2021,09/01/2021,https://radio.uchile.cl/2021/01/09/plurinacionalidad-medio-ambiente-y-dd-hh-las-propuestas-de-los-pueblos-indigenas-en-sus-candidaturas-constituyentes/,Plurinacional Plurinacionalidad (combinada),Sí,No,Sí,
116,"Luis Castro, candidato chango a la CC: “Estábamos invisibilizados, éramos un pueblo que en la historia ya no existíamos”
",Cnnchile.com,Región Metropolitana,Enero 2021,12/01/2021,https://www.cnnchile.com/lodijeronencnn/luis-castro-candidato-pueblo-chango-invisibilizados_20210112/,Plurinacional,No,Sí,Sí,
141,"Presentan candidaturas a escaņos reservados para pueblos indígenas de la región de Aysén
",Eldivisadero.cl,Región de Aysén,Enero 2021,29/01/2021,http://www.eldivisadero.cl/noticia-61369,Plurinacional,No,Sí,Sí,
158,"#YoConstituyente Pedro Cayuqueo: ""Existen en el pensamiento profundo de nuestros pueblos respuestas a problemas modernos""",Df.cl,Región Metropolitana,Febrero 2021,07/02/2021,https://www.df.cl/noticias/df-mas/ideas/yoconstituyente-pedro-cayuqueo-existen-en-el-pensamiento-profundo-de/2021-02-05/125815.html,Plurinacional,No,Sí,Sí,
165,"Alejandra Flores, candidata por el D2: “Es primordial el reconocimiento de Chile como país plurinacional e intercultural”
",Cnnchile.com,Región Metropolitana,Febrero 2021,11/02/2021,https://www.cnnchile.com/elecciones2021/alejandra-flores-candidata-plurinacional-intercultural-distrito-2_20210211/,Plurinacional Plurinacionalidad (combinada),Sí,No,Sí,
172,"Justicia lingüística para las naciones originarias de Chile
",Elmostrador.cl,Región Metropolitana,Febrero 2021,15/02/2021,https://www.elmostrador.cl/noticias/opinion/2021/02/15/justicia-linguistica-para-las-naciones-originarias-de-chile/,Plurinacional Plurinacionalidad (combinada),No,Sí,Sí,
178,"Ecosocial, feminista y plurinacional: Camilo Parada apuesta por un cambio radical de la sociedad
",Cnnchile.com,Región Metropolitana,Febrero 2021,17/02/2021,https://www.cnnchile.com/elecciones2021/camilo-parada-cambio-radical-sociedad-distrito-10_20210217/,Plurinacional,Sí,No,Sí,
186,"Dr. Rodrigo Manzano candidato a la alcaldía de Panguipulli: «Un municipio con enfoque plurinacional e intercultural»
",Radionuevomundo.cl,Región Metropolitana,Febrero 2021,22/02/2021,https://www.radionuevomundo.cl/2021/02/22/dr-rodrigo-manzano-candidato-a-la-alcaldia-de-panguipulli-un-municipio-con-enfoque-plurinacional-e-intercultural/,Plurinacional Plurinacionalidad (combinada),Sí,No,Sí,
198,"Por un Chile plurinacional y multicultural
",Eldivisadero.cl,Región de Aysén,Febrero 2021,25/02/2021,https://www.eldivisadero.cl/redac-61708,Plurinacional Plurinacionalidad (combinada),Sí,No,Sí,
200,"Jaime Bassa, candidato a la Convención Constitucional: “Chile ya es un Estado plurinacional, ahora falta que la Constitución lo reconozca”
",Elmostrador.cl,Región Metropolitana,Febrero 2021,26/02/2021,https://www.elmostrador.cl/noticias/pais/2021/02/26/jaime-bassa-candidato-a-la-convencion-constitucional-chile-ya-es-un-estado-plurinacional-ahora-falta-que-la-constitucion-lo-reconozca/,Plurinacional,Sí,No,Sí,
213,"Propuesta de la CPC o la nueva forma de infundir miedo en el pueblo Mapuche
",Elmostrador.cl,Región Metropolitana,Marzo 2021,03/03/2021,https://www.elmostrador.cl/destacado/2021/03/22/propuesta-de-la-cpc-o-la-nueva-forma-de-infundir-miedo-en-el-pueblo-mapuche/,Plurinacional,No,Sí,Sí,
214,"Soberanía, territorio y comunidad: Gabriela Calderón y Eric Chinga quieren representar a los diaguitas en la CC
",Cnnchile.com,Región Metropolitana,Marzo 2021,03/03/2021,https://www.cnnchile.com/elecciones2021/gabriela-calderon-eric-chinga-diaguita-escanos-reservados_20210303/,Plurinacional,No,Sí,Sí,
223,"Candidata constituyente Machi Linconao : “Soy inocente de todo lo que viví en carne propia y por eso decidí estar en esta candidatura”.
",Terra.cl,Región Metropolitana,Marzo 2021,09/03/2021,https://www.terra.cl/nacionales/2021/3/9/candidata-constituyente-machi-linconao-soy-inocente-de-todo-lo-que-vivi-en-carne-propia-por-eso-decidi-estar-en-esta-candidatura-5562.html,Plurinacional,No,Sí,Sí,
225,"Adolfo Millabur: “Siempre ha fallado la política en materia de Pueblos Originarios”
",Radio.uchile.cl,Región Metropolitana,Marzo 2021,10/03/2021,https://radio.uchile.cl/2021/03/10/adolfo-millabur-siempre-ha-fallado-la-politica-en-materia-de-pueblos-originarios/,Plurinacional,No,Sí,Sí,
226,"Derechos sociales y plurinacionalidad del Estado: Las oportunidades de la nueva Constitución según Agustín Squella
",Duna.cl,Región Metropolitana,Marzo 2021,10/03/2021,https://www.duna.cl/podcasts/derechos-sociales-y-plurinacionalidad-del-estado-las-oportunidades-de-la-nueva-constitucion-segun-agustin-squella/,Plurinacional Plurinacionalidad (combinada),Sí,No,Sí,
228,"Candidato a constituyente mapuche: “El Estado nunca ha tenido un mecanismo de entendimiento de buena fe con los pueblos originarios”
",Adnradio.cl,Región Metropolitana,Marzo 2021,11/03/2021,https://www.adnradio.cl/politica/2021/03/11/candidato-a-constituyente-mapuche-el-estado-nunca-ha-tenido-un-mecanismo-de-entendimiento-de-buena-fe-con-los-pueblos-originarios.html,Plurinacional,No,Sí,Sí,
229,"Elisa Giustinianovich, candidata a la CC por Magallanes: Territorio, plurinación, DD.HH y género 
",Cnnchile.com,Región Metropolitana,Marzo 2021,11/03/2021,https://www.cnnchile.com/elecciones2021/elisa-giustinianovich-magallanes-ddhh-genero-distrito-28_20210311/,Plurinacional,Sí,No,Sí,
236,"¿Qué esperan peñis, machis y lonkos de la nueva Constitución?
",Latercera.com,Región Metropolitana,Marzo 2021,13/03/2021,http://latercera.com/la-tercera-domingo/noticia/que-esperan-penis-machis-y-lonkos-de-la-nueva-constitucion/I4LNYPVNNREIXHAHFM2RVCOH5M/,Plurinacional,No,Sí,Sí,
247,"Adolfo Millabur, candidato a constituyente mapuche: ""Lo plurinacional e intercultural tiene que estar en la matriz de la distribución del poder""
",Elmostrador.cl,Región Metropolitana,Marzo 2021,16/03/2021,https://www.elmostrador.cl/noticias/pais/2021/03/16/adolfo-millabur-candidato-a-constituyente-mapuche-lo-plurinacional-e-intercultural-tiene-que-estar-en-la-matriz-de-la-distribucion-del-poder/,Plurinacional,Sí,No,Sí,
249,"¿Conservando para el olvido? Patrimonio cultural indígena y el proceso constituyente
",Eldinamo.cl,Región Metropolitana,Marzo 2021,17/03/2021,https://www.eldinamo.cl/opinion/2021/03/17/conservando-para-el-olvido-patrimonio-cultural-indigena-y-el-proceso-constituyente/,Plurinacionalidad,No,Sí,Sí,
255,"Wilfredo Bacián, el candidato quechua que busca el pleno reconocimiento constitucional de su pueblo
",Cnnchile.com,Región Metropolitana,Marzo 2021,20/03/2021,https://www.cnnchile.com/elecciones2021/wilfredo-bacian-reconocimiento-constitucional-quechua-escanos-reservados_20210320/,Plurinacional,No,Sí,Sí,
259,"Catalina Cortés, candidata aymara a la Convención Constitucional: ""No se ha dado el ancho respecto a la participación efectiva de los pueblos indígenas"" 
",Elmostrador.cl,Región Metropolitana,Marzo 2021,23/03/2021,http://elmostrador.cl/noticias/pais/2021/03/23/catalina-cortes-candidata-aymara-a-la-convencion-constitucional-no-se-ha-dado-el-ancho-respecto-a-la-participacion-efectiva-de-los-pueblos-indigenas/,Plurinacional,No,Sí,Sí,
261,"Por justicia: avanzando a un Estado Plurinacional
",Elmostrador.cl,Región Metropolitana,Marzo 2021,23/03/2021,https://www.elmostrador.cl/noticias/opinion/2021/03/23/narcoterrorismo-en-la-araucania/,Plurinacional Plurinacionalidad (combinada),Sí,No,Sí,
270,Pueblos originarios: entre el reconocimiento cultural y el reconocimiento político,Ciperchile.cl,Región Metropolitana,Marzo 2021,27/03/2021,https://www.ciperchile.cl/2021/03/27/pueblos-originarios-entre-el-reconocimiento-cultural-y-el-reconocimiento-politico/,Plurinacional Plurinacionalidad (combinada),No,Sí,Sí,
276,"Ataque incendiario en Tirúa deja destruida máquina que realizaba trabajos a comunidades indígenas
",Latercera.com,Región Metropolitana,Marzo 2021,30/03/2021,https://www.latercera.com/nacional/noticia/ataque-incendiario-en-tirua-deja-destruida-maquina-que-realizaba-trabajos-a-comunidades-indigenas/37XAEXOBKBEHBIAKDBDSWVVUKE/,Plurinacional Plurinacionalidad (combinada),No,Sí,Sí,
277,"Isabel Godoy, candidata por pueblo Colla: «Vamos por una nueva Constitución que reconozca la condición plurinacional del Estado chileno»
",Radionuevomundo.cl,Región Metropolitana,Marzo 2021,30/03/2021,https://www.radionuevomundo.cl/2021/03/30/isabel-godoy-candidata-por-pueblo-colla-vamos-por-una-nueva-constitucion-que-reconozca-la-condicion-plurinacional-del-estado-chileno/,Plurinacional,Sí,No,Sí,
280,"Benito Baranda Ferrán, candidato a constituyente independiente por la Región Metropolitana (Distrito 12): “Chile decidió formalmente un proceso para reglas nuevas, escritas democráticamente, con participación de independientes, paridad y representación de los pueblos originarios”.
",Diarioconstitucional.cl,Región Metropolitana,Marzo 2021,31/03/2021,https://www.diarioconstitucional.cl/entrevistas/benito-baranda-ferran-candidato-a-constituyente-independiente-por-la-region-metropolitana-distrito-12-chile-decidio-formalmente-un-proceso-para-reglas-nuevas-escritas-democraticamente-c/,Plurinacional,No,Sí,Sí,
282,"¿Mantener el Estado unitario? Así fue el debate entre López, Fontaine, Figueroa y Silva
",Latercera.com,Región Metropolitana,Abril 2021,02/04/2021,https://www.latercera.com/reconstitucion/noticia/mantener-el-estado-unitario-asi-fue-el-debate-entre-lopez-fontaine-figueroa-y-silva/X3EAK6WDLZHTBHGSSX26BGOHJ4/,Plurinacionalidad,No,Sí,Sí,
283,"Luis Catrileo, candidato constituyente: «La nueva Constitución debe poner al centro el buen vivir de las primeras naciones»
",Radionuevomundo.cl,Región Metropolitana,Abril 2021,02/04/2021,http://www.radionuevomundo.cl/2021/04/02/luis-catrileo-candidato-constituyente-la-nueva-constitucion-debe-poner-al-centro-el-buen-vivir-de-las-primeras-naciones/,Plurinacional,No,Sí,Sí,
286,#YoConstituyente Félix Galleguillos: “Incluiríamos un artículo consagrando la plurinacionalidad”,Df.cl,Región Metropolitana,Abril 2021,04/04/2021,https://dfmas.df.cl/df-mas/ideas/felix-galleguillos-incluiriamos-un-articulo-consagrando-la,Plurinacionalidad,Sí,No,Sí,
288,"Escaños reservados en Biobío: buscan concretar derechos históricos
",Diarioconcepcion.cl,Región del Biobío,Abril 2021,04/04/2021,https://www.diarioconcepcion.cl/politica/2021/04/04/escanos-reservados-en-biobio-buscan-concretar-derechos-historicos.html,Plurinacional,No,Sí,Sí,
295,"Manuela Royo, abogada y candidata por el D23: La defensa de la naturaleza, el agua y el pueblo mapuche
",Cnnchile.com,Región Metropolitana,Abril 2021,09/04/2021,https://www.cnnchile.com/elecciones2021/manuela-royo-defensa-naturaleza-agua-mapuche-distrito-23_20210409/,Plurinacional,No,Sí,Sí,
298,"Natividad Llanquileo (Pueblo Mapuche): “El Estado plurinacional tiene que ver con la aceptación normativa de una realidad que ya existe”
",Latercera.com,Región Metropolitana,Abril 2021,15/04/2021,https://www.latercera.com/reconstitucion/noticia/natividad-llanquileo-pueblo-mapuche-el-estado-plurinacional-tiene-que-ver-con-la-aceptacion-normativa-de-una-realidad-que-ya-existe/PT7CVQBXE5CRNBQJM7IILZTEX4/,Plurinacional Plurinacionalidad (combinada),Sí,No,Sí,
302,"Mi Constitución en 60 palabras: la inclusión de los pueblos originarios
",Pauta.cl,Región Metropolitana,Abril 2021,18/04/2021,https://www.pauta.cl/politica/mi-constitucion-en-60-palabras-distrito-25-pueblos-originarios,Plurinacional,No,Sí,Sí,
304,"CIIR abre convocatoria fotográfica sobre pueblos originarios con interesantes premios
",Cultura21.cl,Región Metropolitana,Abril 2021,21/04/2021,https://www.cultura21.cl/ciir-abre-convocatoria-fotografica-sobre-pueblos-originarios-con-interesantes-premios/,Plurinacional,No,Sí,Sí,
331,"Machi Francisca Linconao, candidata constituyente: «Cuando yo esté ahí escribiendo la Constitución, nadie me va a parar»
",Eldesconcierto.cl,Región Metropolitana,Mayo 2021,04/05/2021,https://www.eldesconcierto.cl/reportajes/2021/05/04/machi-francisca-linconao-candidata-constituyente-cuando-yo-este-ahi-escribiendo-la-constitucion-nadie-me-va-a-parar.html,Plurinacionalidad,No,Sí,Sí,
332,"Pablo Perelló (Ind-RN): “El Estado plurinacional no es la solución al conflicto en La Araucanía”
",Latercera.com,Región Metropolitana,Mayo 2021,04/05/2021,https://www.latercera.com/reconstitucion/noticia/pablo-perello-ind-rn-el-estado-plurinacional-no-es-la-solucion-al-conflicto-en-la-araucania/VNMHEOKG6VF6FBLZXMV53R4M5M/,Plurinacional,Sí,No,Sí,
339,"¿Cuáles son las propuestas de los pueblos originarios para la nueva Constitución?: Así fue el debate entre Llanquileo, Calderón y Cheuquelaf
",Latercera.com,Región Metropolitana,Mayo 2021,07/05/2021,https://www.latercera.com/la-tercera-pm/noticia/cuales-son-las-propuestas-de-los-pueblos-originarios-para-la-nueva-constitucion-asi-fue-el-debate-entre-llanquileo-calderon-y-cheuquelaf/3RGOJ222XZAAHEPCGGNNCEHUEA/,Plurinacionalidad,No,Sí,Sí,
342,"Movimientos sociales realizan “Primer Encuentro Plurinacional” a una semana de las elecciones
",Radio.uchile.cl,Región Metropolitana,Mayo 2021,08/05/2021,http://radio.uchile.cl/2021/05/08/movimientos-sociales-realizan-primer-encuentro-plurinacional-a-una-semana-de-las-elecciones/,Plurinacional,Sí,No,Sí,
343,"#FueTendencia: Pueblos indígenas
",Diarioconcepcion.cl,Región del Biobío,Mayo 2021,09/05/2021,https://www.diarioconcepcion.cl/opinion/2021/05/09/fuetendencia-pueblos-indigenas.html,Plurinacional,No,Sí,Sí,
349,"Columna de Francisco Huenchumilla: Un Estado plurinacional
",Cnnchile.com,Región Metropolitana,Mayo 2021,10/05/2021,https://www.cnnchile.com/opinion/columna-francisco-huenchumilla-estado-plurinacional_20210510/,Plurinacional Plurinacionalidad (combinada),Sí,No,Sí,
351,"Cómo será la votación para los escaños reservados de constituyentes indígenas
",Cooperativa.cl,Región Metropolitana,Mayo 2021,11/05/2021,https://cooperativa.cl/noticias/pais/politica/reformas-constitucionales/como-sera-la-votacion-para-los-escanos-reservados-de-constituyentes/2021-05-11/175720.html,Plurinacional,No,Sí,Sí,
357,"Fuad Chahín (DC): “Tenemos que reconocer que existen primeras naciones con una cosmovisión, cultura y lengua que tienen que estar plenamente reconocidas”
",Latercera.com,Región Metropolitana,Mayo 2021,12/05/2021,https://www.latercera.com/reconstitucion/noticia/fuad-chahin-dc-tenemos-que-reconocer-que-existen-primeras-naciones-con-una-cosmovision-cultura-y-lengua-que-tienen-que-estar-plenamente-reconocidas/EGNIOAPHNVH47IGUWECRTVJVI4/,Plurinacional,No,Sí,Sí,
359,"Tras siglos sin reconocimiento: ¿qué esperan los pueblos originarios del proceso constituyente?
",Biobiochile.cl,Región Metropolitana,Mayo 2021,12/05/2021,https://www.biobiochile.cl/especial/una-constitucion-para-chile/noticias/2021/05/12/tras-siglos-sin-reconocimiento-que-esperan-los-pueblos-originarios-del-proceso-constituyente.shtml,Plurinacional Plurinacionalidad (combinada),No,Sí,Sí,
365,Todo queda en familia: La historia detrás del escaño para el pueblo yagán,Theclinic.cl,Región Metropolitana,Mayo 2021,14/05/2021,https://www.theclinic.cl/2021/05/14/todo-queda-en-familia-la-historia-detras-del-escano-para-el-pueblo-yagan/,Plurinacional,No,Sí,Sí,
374,"Elisa Loncón, constituyente mapuche: La expectativa es que se reconozca por primera vez la plurinacionalidad",Cooperativa.cl,Región Metropolitana,Mayo 2021,17/05/2021,https://cooperativa.cl/noticias/pais/politica/reformas-constitucionales/elisa-loncon-constituyente-mapuche-la-expectativa-es-que-se-reconozca/2021-05-17/183030.html,Plurinacional Plurinacionalidad (combinada),Sí,No,Sí,
380,"Salvador Millaleo en La Semana Política: ""Con estos resultados de constituyentes creo ya es un hecho que Chile se declare como un Estado Plurinacional""
",Elmostrador.cl,Región Metropolitana,Mayo 2021,17/05/2021,https://www.elmostrador.cl/destacado/2021/05/17/salvador-millaleo-en-la-semana-politica-con-estos-resultados-de-constituyentes-creo-ya-es-un-hecho-que-chile-se-declare-como-un-estado-plurinacional/,Plurinacional Plurinacionalidad (combinada),Sí,No,Sí,
386,"La plurinacionalidad: ¿al alcance de la mano?
",Elmostrador.cl,Región Metropolitana,Mayo 2021,18/05/2021,https://www.elmostrador.cl/destacado/2021/05/18/la-plurinacionalidad-al-alcance-de-la-mano/,Plurinacional Plurinacionalidad (combinada),Sí,No,Sí,
394,"Daniel Jadue: “Vamos a construir un Estado de derechos sociales, plurinacional, intercultural, feminista y paritario”
",Eldesconcierto.cl,Región Metropolitana,Mayo 2021,20/05/2021,https://www.eldesconcierto.cl/nacional/2021/05/20/daniel-jadue-vamos-a-construir-un-estado-de-derechos-sociales-plurinacional-intercultural-feminista-y-paritario.html,Plurinacional Plurinacionalidad (combinada),Sí,No,Sí,
396,"Elisa Loncon, constituyente: “Si queremos que la nación mapuche siga existiendo tiene que ejercer su autonomía, porque la Convención también es un ejercicio de justicia”",Theclinic.cl,Región Metropolitana,Mayo 2021,20/05/2021,https://www.theclinic.cl/2021/05/20/elisa-loncon-constituyente-si-queremos-que-la-nacion-mapuche-siga-existiendo-tiene-que-ejercer-su-autonomia-porque-la-convencion-tambien-es-un-ejercicio-de-justicia/,Plurinacional,No,Sí,Sí,
398,"Lo conseguimos: una Convención Constituyente Plurinacional e Intercultural
",Ciperchile.cl,Región Metropolitana,Mayo 2021,20/05/2021,https://www.ciperchile.cl/2021/05/20/lo-conseguimos-una-convencion-constituyente-plurinacional-e-intercultural/,Plurinacional Plurinacionalidad (combinada),Sí,No,Sí,
406,"Rosa Catrileo: “La plurinacionalidad muchas veces es un eslogan que no aborda el debate profundo”
",Radio.uchile.cl,Región Metropolitana,Mayo 2021,22/05/2021,https://radio.uchile.cl/2021/05/22/rosa-catrileo-la-plurinacionalidad-muchas-veces-es-un-eslogan-que-no-aborda-el-debate-profundo/,Plurinacional Plurinacionalidad (combinada),Sí,No,Sí,
411,"A favor de un Estado Plurinacional, perspectiva de género y derecho a la vivienda: Conoce cómo piensan los Constituyentes de pueblos originarios
",24horas.cl,Región Metropolitana,Mayo 2021,24/05/2021,https://www.24horas.cl/data/conoce-como-piensan-y-cuales-son-las-posturas-de-los-constituyentes-por-escanos-reservados-4787774,Plurinacional,Sí,No,Sí,
421,"Los proyectos de los pueblos originarios para la Convención Constitucional
",Pauta.cl,Región Metropolitana,Mayo 2021,25/05/2021,https://www.pauta.cl/politica/pueblos-originarios-convencion-constitucional-propuestas,Plurinacional,No,Sí,Sí,
422,"Rosa Catrileo, constituyente mapuche: “Si la plurinacionalidad es el mero reconocimiento de que hay pueblos indígenas, no nos sirve mucho”
",Adnradio.cl,Región Metropolitana,Mayo 2021,25/05/2021,https://www.adnradio.cl/regional/2021/05/25/rosa-catrileo-constituyente-mapuche-si-la-plurinacionalidad-es-el-mero-reconocimiento-de-que-hay-pueblos-indigenas-no-nos-sirve-mucho.html,Plurinacionalidad,Sí,No,Sí,
